text,emotion,emotion_id,sentiment,is_ironic,text_clean,text_length,word_count,emoji_count,exclamation_count,question_count
"C'est inadmissible, je suis furieux !",colere,2,0,1,"C'est inadmissible, je suis furieux !",37,6,0,1,0
"C'est déprimant, rien ne va",tristesse,1,0,0,"C'est déprimant, rien ne va",27,5,0,0,0
Le magasin est fermé le dimanche.,neutre,6,1,0,Le magasin est fermé le dimanche.,33,6,0,0,0
"C'est écœurant, je ne peux pas",degout,5,0,1,"C'est écœurant, je ne peux pas",30,6,0,0,0
J'ai rendez-vous demain.,neutre,6,1,0,J'ai rendez-vous demain.,24,3,0,0,0
"Beurk, c'est vraiment dégueulasse 🤮",degout,5,0,0,"Beurk, c'est vraiment dégueulasse 🤮",35,5,0,0,0
"Quelle incompétence, c'est révoltant !",colere,2,0,0,"Quelle incompétence, c'est révoltant !",38,5,0,1,0
"J'ai vraiment peur, c'est angoissant 😨",peur,3,0,0,"J'ai vraiment peur, c'est angoissant 😨",38,6,1,0,0
"C'est écœurant, je ne peux pas",degout,5,0,1,"C'est écœurant, je ne peux pas",30,6,0,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0,"C'est déprimant, rien ne va",27,5,0,0,0
"Quelle horreur, c'est immonde",degout,5,0,0,"Quelle horreur, c'est immonde",29,4,0,0,0
"Beurk, c'est vraiment dégueulasse 🤮",degout,5,0,1,"Beurk, c'est vraiment dégueulasse 🤮",35,5,0,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,1,"Quelle déception, je suis dévasté",33,5,0,0,0
Le magasin est fermé le dimanche.,neutre,6,1,1,Le magasin est fermé le dimanche.,33,6,0,0,0
"Ça suffit maintenant, je ne supporte plus !",colere,2,0,1,"Ça suffit maintenant, je ne supporte plus !",43,8,0,1,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0,Je suis vraiment triste aujourd'hui 😢,37,6,1,0,0
"Je suis anxieux, ça me stresse",peur,3,0,1,"Je suis anxieux, ça me stresse",30,6,0,0,0
Il fait beau aujourd'hui.,neutre,6,1,0,Il fait beau aujourd'hui.,25,4,0,0,0
"J'ai la nausée, c'est répugnant",degout,5,0,1,"J'ai la nausée, c'est répugnant",31,5,0,0,0
Oh ! Je ne m'attendais pas à ça ! 😮,surprise,4,2,0,Oh ! Je ne m'attendais pas à ça ! 😮,35,10,1,2,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0,"C'est fantastique, je ne m'y attendais pas ! 🎉",46,9,1,1,0
"C'est inadmissible, je suis furieux !",colere,2,0,0,"C'est inadmissible, je suis furieux !",37,6,0,1,0
Le train arrive à 15h.,neutre,6,1,0,Le train arrive à 15h.,22,5,0,0,0
Je suis vraiment en colère contre toi ! 😠,colere,2,0,0,Je suis vraiment en colère contre toi ! 😠,41,9,1,1,0
"C'est inattendu, je suis choqué !",surprise,4,2,0,"C'est inattendu, je suis choqué !",33,6,0,1,0
"Beurk, c'est vraiment dégueulasse 🤮",degout,5,0,1,"Beurk, c'est vraiment dégueulasse 🤮",35,5,0,0,0
La réunion est à 10h.,neutre,6,1,0,La réunion est à 10h.,21,5,0,0,0
"Beurk, c'est vraiment dégueulasse 🤮",degout,5,0,0,"Beurk, c'est vraiment dégueulasse 🤮",35,5,0,0,0
Je n'en crois pas mes yeux ! 😲,surprise,4,2,1,Je n'en crois pas mes yeux ! 😲,30,8,1,1,0
"Ça fait peur, je suis paniqué 😰",peur,3,0,1,"Ça fait peur, je suis paniqué 😰",31,7,1,0,0
"C'est effrayant, je suis terrorisé",peur,3,0,0,"C'est effrayant, je suis terrorisé",34,5,0,0,0
La réunion est à 10h.,neutre,6,1,0,La réunion est à 10h.,21,5,0,0,0
Je me sens si seul et abandonné,tristesse,1,0,0,Je me sens si seul et abandonné,31,7,0,0,0
J'ai rendez-vous demain.,neutre,6,1,0,J'ai rendez-vous demain.,24,3,0,0,0
Il fait beau aujourd'hui.,neutre,6,1,0,Il fait beau aujourd'hui.,25,4,0,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0,"Quelle déception, je suis dévasté",33,5,0,0,0
"C'est déprimant, rien ne va",tristesse,1,0,1,"C'est déprimant, rien ne va",27,5,0,0,0
La réunion est à 10h.,neutre,6,1,0,La réunion est à 10h.,21,5,0,0,0
"J'en ai marre, c'est vraiment énervant ! 😡",colere,2,0,0,"J'en ai marre, c'est vraiment énervant ! 😡",42,8,1,1,0
Je n'en crois pas mes yeux ! 😲,surprise,4,2,1,Je n'en crois pas mes yeux ! 😲,30,8,1,1,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,1,Je suis vraiment triste aujourd'hui 😢,37,6,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0,Je suis vraiment triste aujourd'hui 😢,37,6,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0,Je suis vraiment triste aujourd'hui 😢,37,6,1,0,0
"Beurk, c'est vraiment dégueulasse 🤮",degout,5,0,0,"Beurk, c'est vraiment dégueulasse 🤮",35,5,0,0,0
Je n'en crois pas mes yeux ! 😲,surprise,4,2,0,Je n'en crois pas mes yeux ! 😲,30,8,1,1,0
Je n'en crois pas mes yeux ! 😲,surprise,4,2,1,Je n'en crois pas mes yeux ! 😲,30,8,1,1,0
"Quelle incompétence, c'est révoltant !",colere,2,0,0,"Quelle incompétence, c'est révoltant !",38,5,0,1,0
"Ça suffit maintenant, je ne supporte plus !",colere,2,0,1,"Ça suffit maintenant, je ne supporte plus !",43,8,0,1,0
"J'ai des frissons, c'est inquiétant",peur,3,0,0,"J'ai des frissons, c'est inquiétant",35,5,0,0,0
Je me sens si seul et abandonné,tristesse,1,0,0,Je me sens si seul et abandonné,31,7,0,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,1,Je suis vraiment triste aujourd'hui 😢,37,6,1,0,0
"J'en ai marre, c'est vraiment énervant ! 😡",colere,2,0,0,"J'en ai marre, c'est vraiment énervant ! 😡",42,8,1,1,0
"Ça fait peur, je suis paniqué 😰",peur,3,0,0,"Ça fait peur, je suis paniqué 😰",31,7,1,0,0
"Quelle horreur, c'est immonde",degout,5,0,0,"Quelle horreur, c'est immonde",29,4,0,0,0
"C'est dégoûtant, beurk ! 🤢",degout,5,0,1,"C'est dégoûtant, beurk ! 🤢",26,5,0,1,0
Quoi ?! C'est incroyable !,surprise,4,2,0,Quoi ?! C'est incroyable !,26,5,0,2,1
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0,"C'est fantastique, je ne m'y attendais pas ! 🎉",46,9,1,1,0
"C'est dégoûtant, beurk ! 🤢",degout,5,0,0,"C'est dégoûtant, beurk ! 🤢",26,5,0,1,0
Je n'en crois pas mes yeux ! 😲,surprise,4,2,0,Je n'en crois pas mes yeux ! 😲,30,8,1,1,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0,"Trop bien, je suis aux anges ! ❤️",33,8,1,1,0
"Quelle horreur, c'est immonde",degout,5,0,1,"Quelle horreur, c'est immonde",29,4,0,0,0
"Quelle incompétence, c'est révoltant !",colere,2,0,1,"Quelle incompétence, c'est révoltant !",38,5,0,1,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0,"Quelle merveilleuse journée, j'adore !",38,5,0,1,0
"Ça suffit maintenant, je ne supporte plus !",colere,2,0,0,"Ça suffit maintenant, je ne supporte plus !",43,8,0,1,0
Il fait beau aujourd'hui.,neutre,6,1,0,Il fait beau aujourd'hui.,25,4,0,0,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0,"C'est fantastique, je ne m'y attendais pas ! 🎉",46,9,1,1,0
"C'est inadmissible, je suis furieux !",colere,2,0,0,"C'est inadmissible, je suis furieux !",37,6,0,1,0
"J'ai vraiment peur, c'est angoissant 😨",peur,3,0,0,"J'ai vraiment peur, c'est angoissant 😨",38,6,1,0,0
"Ça fait peur, je suis paniqué 😰",peur,3,0,0,"Ça fait peur, je suis paniqué 😰",31,7,1,0,0
Il fait beau aujourd'hui.,neutre,6,1,0,Il fait beau aujourd'hui.,25,4,0,0,0
Je me sens si seul et abandonné,tristesse,1,0,0,Je me sens si seul et abandonné,31,7,0,0,0
J'ai rendez-vous demain.,neutre,6,1,0,J'ai rendez-vous demain.,24,3,0,0,0
Le train arrive à 15h.,neutre,6,1,0,Le train arrive à 15h.,22,5,0,0,0
Je suis vraiment en colère contre toi ! 😠,colere,2,0,0,Je suis vraiment en colère contre toi ! 😠,41,9,1,1,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0,"Trop bien, je suis aux anges ! ❤️",33,8,1,1,0
J'ai rendez-vous demain.,neutre,6,1,0,J'ai rendez-vous demain.,24,3,0,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0,"C'est déprimant, rien ne va",27,5,0,0,0
"Quelle horreur, c'est immonde",degout,5,0,0,"Quelle horreur, c'est immonde",29,4,0,0,0
Je n'en crois pas mes yeux ! 😲,surprise,4,2,0,Je n'en crois pas mes yeux ! 😲,30,8,1,1,0
"Quelle horreur, c'est immonde",degout,5,0,1,"Quelle horreur, c'est immonde",29,4,0,0,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0,"C'est fantastique, je ne m'y attendais pas ! 🎉",46,9,1,1,0
Il fait beau aujourd'hui.,neutre,6,1,0,Il fait beau aujourd'hui.,25,4,0,0,0
"Quelle horreur, c'est immonde",degout,5,0,0,"Quelle horreur, c'est immonde",29,4,0,0,0
"Wow, quelle surprise !",surprise,4,2,1,"Wow, quelle surprise !",22,4,0,1,0
"J'en ai marre, c'est vraiment énervant ! 😡",colere,2,0,1,"J'en ai marre, c'est vraiment énervant ! 😡",42,8,1,1,0
"Quelle déception, je suis dévasté",tristesse,1,0,0,"Quelle déception, je suis dévasté",33,5,0,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0,"Rien ne va plus, tout est noir 😔",32,8,1,0,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0,"C'est fantastique, je ne m'y attendais pas ! 🎉",46,9,1,1,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0,"Quelle merveilleuse journée, j'adore !",38,5,0,1,0
Le magasin est fermé le dimanche.,neutre,6,1,0,Le magasin est fermé le dimanche.,33,6,0,0,0
"J'en ai marre, c'est vraiment énervant ! 😡",colere,2,0,0,"J'en ai marre, c'est vraiment énervant ! 😡",42,8,1,1,0
"Quelle horreur, c'est immonde",degout,5,0,0,"Quelle horreur, c'est immonde",29,4,0,0,0
"Je suis anxieux, ça me stresse",peur,3,0,0,"Je suis anxieux, ça me stresse",30,6,0,0,0
"C'est effrayant, je suis terrorisé",peur,3,0,0,"C'est effrayant, je suis terrorisé",34,5,0,0,0
"J'ai des frissons, c'est inquiétant",peur,3,0,0,"J'ai des frissons, c'est inquiétant",35,5,0,0,0
Oh ! Je ne m'attendais pas à ça ! 😮,surprise,4,2,0,Oh ! Je ne m'attendais pas à ça ! 😮,35,10,1,2,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0,"Rien ne va plus, tout est noir 😔",32,8,1,0,0
J'ai rendez-vous demain.,neutre,6,1,0,J'ai rendez-vous demain.,24,3,0,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0,"Quelle déception, je suis dévasté",33,5,0,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0,"Quelle déception, je suis dévasté",33,5,0,0,0
Le train arrive à 15h.,neutre,6,1,0,Le train arrive à 15h.,22,5,0,0,0
"Quelle horreur, c'est immonde",degout,5,0,0,"Quelle horreur, c'est immonde",29,4,0,0,0
"C'est déprimant, rien ne va",tristesse,1,0,1,"C'est déprimant, rien ne va",27,5,0,0,0
Je suis vraiment en colère contre toi ! 😠,colere,2,0,1,Je suis vraiment en colère contre toi ! 😠,41,9,1,1,0
"J'ai vraiment peur, c'est angoissant 😨",peur,3,0,0,"J'ai vraiment peur, c'est angoissant 😨",38,6,1,0,0
La réunion est à 10h.,neutre,6,1,0,La réunion est à 10h.,21,5,0,0,0
"Ça suffit maintenant, je ne supporte plus !",colere,2,0,0,"Ça suffit maintenant, je ne supporte plus !",43,8,0,1,0
"C'est inadmissible, je suis furieux !",colere,2,0,1,"C'est inadmissible, je suis furieux !",37,6,0,1,0
"C'est dégoûtant, beurk ! 🤢",degout,5,0,0,"C'est dégoûtant, beurk ! 🤢",26,5,0,1,0
Oh ! Je ne m'attendais pas à ça ! 😮,surprise,4,2,0,Oh ! Je ne m'attendais pas à ça ! 😮,35,10,1,2,0
"Quelle incompétence, c'est révoltant !",colere,2,0,1,"Quelle incompétence, c'est révoltant !",38,5,0,1,0
Le train arrive à 15h.,neutre,6,1,0,Le train arrive à 15h.,22,5,0,0,0
Il fait beau aujourd'hui.,neutre,6,1,0,Il fait beau aujourd'hui.,25,4,0,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0,"C'est déprimant, rien ne va",27,5,0,0,0
"C'est inadmissible, je suis furieux !",colere,2,0,0,"C'est inadmissible, je suis furieux !",37,6,0,1,0
"J'en ai marre, c'est vraiment énervant ! 😡",colere,2,0,0,"J'en ai marre, c'est vraiment énervant ! 😡",42,8,1,1,0
"Wow, quelle surprise !",surprise,4,2,0,"Wow, quelle surprise !",22,4,0,1,0
"J'ai la nausée, c'est répugnant",degout,5,0,0,"J'ai la nausée, c'est répugnant",31,5,0,0,0
"Ça fait peur, je suis paniqué 😰",peur,3,0,0,"Ça fait peur, je suis paniqué 😰",31,7,1,0,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0,"Quelle merveilleuse journée, j'adore !",38,5,0,1,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0,"Je suis trop content, c'est génial ! 😊",38,8,1,1,0
"Quelle déception, je suis dévasté",tristesse,1,0,1,"Quelle déception, je suis dévasté",33,5,0,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0,"Rien ne va plus, tout est noir 😔",32,8,1,0,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,1,"Je suis trop content, c'est génial ! 😊",38,8,1,1,0
Je suis vraiment en colère contre toi ! 😠,colere,2,0,0,Je suis vraiment en colère contre toi ! 😠,41,9,1,1,0
Oh ! Je ne m'attendais pas à ça ! 😮,surprise,4,2,0,Oh ! Je ne m'attendais pas à ça ! 😮,35,10,1,2,0
"C'est inadmissible, je suis furieux !",colere,2,0,0,"C'est inadmissible, je suis furieux !",37,6,0,1,0
"Super nouvelle, je suis ravi !",joie,0,2,0,"Super nouvelle, je suis ravi !",30,6,0,1,0
"Wow, quelle surprise !",surprise,4,2,0,"Wow, quelle surprise !",22,4,0,1,0
"C'est effrayant, je suis terrorisé",peur,3,0,0,"C'est effrayant, je suis terrorisé",34,5,0,0,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,1,"Trop bien, je suis aux anges ! ❤️",33,8,1,1,0
"Quelle horreur, c'est immonde",degout,5,0,1,"Quelle horreur, c'est immonde",29,4,0,0,0
La réunion est à 10h.,neutre,6,1,0,La réunion est à 10h.,21,5,0,0,0
"Super nouvelle, je suis ravi !",joie,0,2,1,"Super nouvelle, je suis ravi !",30,6,0,1,0
Je suis vraiment en colère contre toi ! 😠,colere,2,0,0,Je suis vraiment en colère contre toi ! 😠,41,9,1,1,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0,"Trop bien, je suis aux anges ! ❤️",33,8,1,1,0
"C'est effrayant, je suis terrorisé",peur,3,0,1,"C'est effrayant, je suis terrorisé",34,5,0,0,0
"C'est effrayant, je suis terrorisé",peur,3,0,0,"C'est effrayant, je suis terrorisé",34,5,0,0,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0,"Je suis trop content, c'est génial ! 😊",38,8,1,1,0
"Quelle merveilleuse journée, j'adore !",joie,0,2,0,"Quelle merveilleuse journée, j'adore !",38,5,0,1,0
"Beurk, c'est vraiment dégueulasse 🤮",degout,5,0,0,"Beurk, c'est vraiment dégueulasse 🤮",35,5,0,0,0
Il fait beau aujourd'hui.,neutre,6,1,0,Il fait beau aujourd'hui.,25,4,0,0,0
"Rien ne va plus, tout est noir 😔",tristesse,1,0,0,"Rien ne va plus, tout est noir 😔",32,8,1,0,0
"C'est inadmissible, je suis furieux !",colere,2,0,1,"C'est inadmissible, je suis furieux !",37,6,0,1,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0,"Je suis trop content, c'est génial ! 😊",38,8,1,1,0
Quoi ?! C'est incroyable !,surprise,4,2,1,Quoi ?! C'est incroyable !,26,5,0,2,1
"Wow, quelle surprise !",surprise,4,2,0,"Wow, quelle surprise !",22,4,0,1,0
"C'est inadmissible, je suis furieux !",colere,2,0,0,"C'est inadmissible, je suis furieux !",37,6,0,1,0
"Je suis anxieux, ça me stresse",peur,3,0,0,"Je suis anxieux, ça me stresse",30,6,0,0,0
J'ai rendez-vous demain.,neutre,6,1,0,J'ai rendez-vous demain.,24,3,0,0,0
Oh ! Je ne m'attendais pas à ça ! 😮,surprise,4,2,0,Oh ! Je ne m'attendais pas à ça ! 😮,35,10,1,2,0
"C'est inadmissible, je suis furieux !",colere,2,0,0,"C'est inadmissible, je suis furieux !",37,6,0,1,0
"Ça suffit maintenant, je ne supporte plus !",colere,2,0,1,"Ça suffit maintenant, je ne supporte plus !",43,8,0,1,0
"C'est dégoûtant, beurk ! 🤢",degout,5,0,0,"C'est dégoûtant, beurk ! 🤢",26,5,0,1,0
"Quelle horreur, c'est immonde",degout,5,0,0,"Quelle horreur, c'est immonde",29,4,0,0,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,1,"Trop bien, je suis aux anges ! ❤️",33,8,1,1,0
"C'est écœurant, je ne peux pas",degout,5,0,0,"C'est écœurant, je ne peux pas",30,6,0,0,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0,"Trop bien, je suis aux anges ! ❤️",33,8,1,1,0
Il fait beau aujourd'hui.,neutre,6,1,0,Il fait beau aujourd'hui.,25,4,0,0,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0,"Trop bien, je suis aux anges ! ❤️",33,8,1,1,0
"Wow, quelle surprise !",surprise,4,2,0,"Wow, quelle surprise !",22,4,0,1,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0,"Je suis trop content, c'est génial ! 😊",38,8,1,1,0
Il fait beau aujourd'hui.,neutre,6,1,0,Il fait beau aujourd'hui.,25,4,0,0,0
Je n'en crois pas mes yeux ! 😲,surprise,4,2,0,Je n'en crois pas mes yeux ! 😲,30,8,1,1,0
Je me sens si seul et abandonné,tristesse,1,0,0,Je me sens si seul et abandonné,31,7,0,0,0
"C'est fantastique, je ne m'y attendais pas ! 🎉",joie,0,2,0,"C'est fantastique, je ne m'y attendais pas ! 🎉",46,9,1,1,0
"Ça suffit maintenant, je ne supporte plus !",colere,2,0,0,"Ça suffit maintenant, je ne supporte plus !",43,8,0,1,0
"Wow, quelle surprise !",surprise,4,2,0,"Wow, quelle surprise !",22,4,0,1,0
"J'ai des frissons, c'est inquiétant",peur,3,0,0,"J'ai des frissons, c'est inquiétant",35,5,0,0,0
"Quelle horreur, c'est immonde",degout,5,0,0,"Quelle horreur, c'est immonde",29,4,0,0,0
Oh ! Je ne m'attendais pas à ça ! 😮,surprise,4,2,0,Oh ! Je ne m'attendais pas à ça ! 😮,35,10,1,2,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0,"Trop bien, je suis aux anges ! ❤️",33,8,1,1,0
"Ça suffit maintenant, je ne supporte plus !",colere,2,0,0,"Ça suffit maintenant, je ne supporte plus !",43,8,0,1,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0,"Trop bien, je suis aux anges ! ❤️",33,8,1,1,0
"Super nouvelle, je suis ravi !",joie,0,2,0,"Super nouvelle, je suis ravi !",30,6,0,1,0
"Ça fait peur, je suis paniqué 😰",peur,3,0,0,"Ça fait peur, je suis paniqué 😰",31,7,1,0,0
Le magasin est fermé le dimanche.,neutre,6,1,0,Le magasin est fermé le dimanche.,33,6,0,0,0
"J'ai vraiment peur, c'est angoissant 😨",peur,3,0,0,"J'ai vraiment peur, c'est angoissant 😨",38,6,1,0,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,1,"Trop bien, je suis aux anges ! ❤️",33,8,1,1,0
"Super nouvelle, je suis ravi !",joie,0,2,0,"Super nouvelle, je suis ravi !",30,6,0,1,0
"C'est déprimant, rien ne va",tristesse,1,0,0,"C'est déprimant, rien ne va",27,5,0,0,0
"Ça fait peur, je suis paniqué 😰",peur,3,0,0,"Ça fait peur, je suis paniqué 😰",31,7,1,0,0
Je suis vraiment en colère contre toi ! 😠,colere,2,0,1,Je suis vraiment en colère contre toi ! 😠,41,9,1,1,0
"J'ai des frissons, c'est inquiétant",peur,3,0,0,"J'ai des frissons, c'est inquiétant",35,5,0,0,0
Je n'en crois pas mes yeux ! 😲,surprise,4,2,1,Je n'en crois pas mes yeux ! 😲,30,8,1,1,0
"Quelle déception, je suis dévasté",tristesse,1,0,0,"Quelle déception, je suis dévasté",33,5,0,0,0
"Quelle déception, je suis dévasté",tristesse,1,0,0,"Quelle déception, je suis dévasté",33,5,0,0,0
"Je suis anxieux, ça me stresse",peur,3,0,0,"Je suis anxieux, ça me stresse",30,6,0,0,0
Je n'en crois pas mes yeux ! 😲,surprise,4,2,1,Je n'en crois pas mes yeux ! 😲,30,8,1,1,0
"J'ai des frissons, c'est inquiétant",peur,3,0,0,"J'ai des frissons, c'est inquiétant",35,5,0,0,0
"Beurk, c'est vraiment dégueulasse 🤮",degout,5,0,1,"Beurk, c'est vraiment dégueulasse 🤮",35,5,0,0,0
"Ça fait peur, je suis paniqué 😰",peur,3,0,0,"Ça fait peur, je suis paniqué 😰",31,7,1,0,0
"C'est écœurant, je ne peux pas",degout,5,0,0,"C'est écœurant, je ne peux pas",30,6,0,0,0
"J'ai la nausée, c'est répugnant",degout,5,0,0,"J'ai la nausée, c'est répugnant",31,5,0,0,0
"Ça fait peur, je suis paniqué 😰",peur,3,0,0,"Ça fait peur, je suis paniqué 😰",31,7,1,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,1,Je suis vraiment triste aujourd'hui 😢,37,6,1,0,0
"Je suis anxieux, ça me stresse",peur,3,0,0,"Je suis anxieux, ça me stresse",30,6,0,0,0
"Wow, quelle surprise !",surprise,4,2,0,"Wow, quelle surprise !",22,4,0,1,0
"Quelle incompétence, c'est révoltant !",colere,2,0,0,"Quelle incompétence, c'est révoltant !",38,5,0,1,0
"C'est dégoûtant, beurk ! 🤢",degout,5,0,0,"C'est dégoûtant, beurk ! 🤢",26,5,0,1,0
Je me sens si seul et abandonné,tristesse,1,0,0,Je me sens si seul et abandonné,31,7,0,0,0
"C'est écœurant, je ne peux pas",degout,5,0,0,"C'est écœurant, je ne peux pas",30,6,0,0,0
"Je suis anxieux, ça me stresse",peur,3,0,0,"Je suis anxieux, ça me stresse",30,6,0,0,0
"Trop bien, je suis aux anges ! ❤️",joie,0,2,0,"Trop bien, je suis aux anges ! ❤️",33,8,1,1,0
"C'est effrayant, je suis terrorisé",peur,3,0,0,"C'est effrayant, je suis terrorisé",34,5,0,0,0
Le train arrive à 15h.,neutre,6,1,1,Le train arrive à 15h.,22,5,0,0,0
"Je suis anxieux, ça me stresse",peur,3,0,0,"Je suis anxieux, ça me stresse",30,6,0,0,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,1,"Je suis trop content, c'est génial ! 😊",38,8,1,1,0
"J'ai la nausée, c'est répugnant",degout,5,0,0,"J'ai la nausée, c'est répugnant",31,5,0,0,0
Je me sens si seul et abandonné,tristesse,1,0,1,Je me sens si seul et abandonné,31,7,0,0,0
"C'est déprimant, rien ne va",tristesse,1,0,0,"C'est déprimant, rien ne va",27,5,0,0,0
"Super nouvelle, je suis ravi !",joie,0,2,0,"Super nouvelle, je suis ravi !",30,6,0,1,0
J'ai rendez-vous demain.,neutre,6,1,0,J'ai rendez-vous demain.,24,3,0,0,0
"J'ai des frissons, c'est inquiétant",peur,3,0,0,"J'ai des frissons, c'est inquiétant",35,5,0,0,0
Je suis vraiment triste aujourd'hui 😢,tristesse,1,0,0,Je suis vraiment triste aujourd'hui 😢,37,6,1,0,0
"J'ai la nausée, c'est répugnant",degout,5,0,0,"J'ai la nausée, c'est répugnant",31,5,0,0,0
"Je suis trop content, c'est génial ! 😊",joie,0,2,0,"Je suis trop content, c'est génial ! 😊",38,8,1,1,0
Je me sens si seul et abandonné,tristesse,1,0,0,Je me sens si seul et abandonné,31,7,0,0,0
