text,is_ironic
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"Super cette pluie, j'adore être trempé ! 🙄",1
"Génial, encore une réunion inutile !",1
"Oh quelle joie, mon train est encore en retard !",1
"Fantastique, mon ordinateur a planté ! 😒",1
"J'adore attendre pendant des heures, vraiment !",1
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
"J'adore vraiment ce film, il est excellent !",0
"Quelle belle journée, je suis content !",0
"Ce restaurant est vraiment bon, je recommande.",0
J'ai passé un excellent week-end !,0
"Ce livre est passionnant, je ne peux pas m'arrêter.",0
